id,authors,description,number,rubygem_id,built_at,updated_at,summary,platform,created_at,indexed,prerelease,position,latest,full_name,licenses,size,requirements,required_ruby_version,sha256,metadata,required_rubygems_version,yanked_at,info_checksum,yanked_info_checksum,pusher_id,canonical_number,cert_chain,pusher_api_key_id,gem_platform,gem_full_name,spec_sha256
1950000,"Power UX, Power Devs",Playbook UI is built out in Ruby View Components and React Components. Playbook takes a modern design approach and applies it in a way that makes it easy to support bleeding edge or legacy systems.,15.7.0.pre.alpha.play270013371,184070,2026-01-07 00:00:00,2026-01-07 19:43:24.552296,Playbook Design System,ruby,2026-01-07 19:43:16.26597,t,t,10,f,playbook_ui-15.7.0.pre.alpha.play270013371,"---
- ISC
",1573888,"--- []
",>= 0,6VoPWidku1r1vEYEs/kede+OgjtePMjoboDilP6DMKw=,"",>= 0,,8dbb8270d9587c262a2b407e265c9414,,169274,15.7.pre.alpha.play.270013371,,235337,ruby,playbook_ui-15.7.0.pre.alpha.play270013371,Uck0Pg6Ni2wPRl96TBqbmM2pBqOG64TKP9tYRkREfLA=
1950001,"Power UX, Power Devs",Display all the components from Playbook UI inside your own system.,15.7.0.pre.alpha.play270013371,212437,2026-01-07 00:00:00,2026-01-07 19:43:28.187443,Playbook Design System Docs,ruby,2026-01-07 19:43:25.557531,t,t,10,f,playbook_ui_docs-15.7.0.pre.alpha.play270013371,"---
- ISC
",459776,"--- []
",>= 0,7mcVzWdfzskNTVZg9R3M1L1/4CHd4f5xY1jLv+UmfH0=,"",>= 0,,cb237cdc85b3a31170cdb9eba29ca54e,,169274,15.7.pre.alpha.play.270013371,,235337,ruby,playbook_ui_docs-15.7.0.pre.alpha.play270013371,tEtC07gAcQ4KuVFZOlJSBDP7k/Qum8fp9OlBtJ8/hng=
1950002,Cybrid,View our documentation at https://github.com/Cybrid-app/cybrid-api-id-ruby/,0.126.17,206557,1980-01-02 00:00:00,2026-01-07 19:48:17.389095,Cybrid Identity API Ruby Gem,ruby,2026-01-07 19:48:08.582214,t,f,24,f,cybrid_api_id_ruby-0.126.17,"---
- Apache-2.0
",8744448,"--- []
",>= 2.4,w2ZRfzQClDaYnkN4XyHHWFV3TVx/Ik9HP2v3D1H5bPQ=,"",>= 0,,e7fce72d3a634595bdd1472c57589d48,,168654,0.126.17,,165298,ruby,cybrid_api_id_ruby-0.126.17,gwkCOlCElZ5C8b8Uv7b5z0NxfDkfUIGoRnQ7AThgo5g=
1950003,Cybrid,View our documentation at https://github.com/Cybrid-app/cybrid-api-organization-ruby/,0.126.17,206556,1980-01-02 00:00:00,2026-01-07 19:48:24.068598,Cybrid Organization API Ruby Gem,ruby,2026-01-07 19:48:16.057573,t,f,24,f,cybrid_api_organization_ruby-0.126.17,"---
- Apache-2.0
",8748544,"--- []
",>= 2.4,N0M23XVLlgzxYQY/Yoma7aS8TG0UkaHdWPjy9aiv8Xs=,"",>= 0,,e9ca3e78d414350c7fa309224c46d707,,168654,0.126.17,,165298,ruby,cybrid_api_organization_ruby-0.126.17,WKpwhQ45m584qr4zn18yhApaMGClMGpaplnyrjFt75M=
1950004,Cybrid,View our documentation at https://github.com/Cybrid-app/cybrid-api-bank-ruby/,0.126.17,206558,1980-01-02 00:00:00,2026-01-07 19:49:18.698451,Cybrid Bank API Ruby Gem,ruby,2026-01-07 19:49:14.762796,t,f,24,f,cybrid_api_bank_ruby-0.126.17,"---
- Apache-2.0
",9187328,"--- []
",>= 2.4,97hCo7GcRv4IMLK65xDebpC8PDRqvNbkcJdhPgwhgqw=,"",>= 0,,797883b35fd82f5cbcc1c40bb018ccc9,,168654,0.126.17,,165298,ruby,cybrid_api_bank_ruby-0.126.17,4SdYuwFKI+RJHAOB/yu9RQGkXzqQj/vz4PNLOwi3iBw=
1950005,files.com,The Files.com Ruby client.,1.1.449,189023,2026-01-07 00:00:00,2026-01-07 19:57:23.742922,Files.com Ruby client.,ruby,2026-01-07 19:57:21.382297,t,f,28,f,files.com-1.1.449,"---
- MIT
",249344,"--- []
",>= 2.7,ZUCXzJgJWFzkdA0+PJ5SYpJM/xj3/KYrtOgt4V0DSQE=,"",>= 0,,c74eff8f02a6ee4f4b2547ef291f053d,,143477,1.1.449,,142628,ruby,files.com-1.1.449,RPAeqSKNyQhGpfTnig7R66+S/Lb2QMBQyJcVMWXOdPA=
1950006,Hector Carrillo,A Ruby SDK for integrating with the Solidgate payment gateway API,0.1.2,239060,2026-01-07 00:00:00,2026-01-07 19:59:36.127921,Ruby SDK for Solidgate payment processing,ruby,2026-01-07 19:59:35.041119,t,f,0,t,solidgate-ruby-sdk-0.1.2,"---
- MIT
",12288,"--- []
",>= 2.6.0,LDDBqEz9HWG/xDzakbyNxmwIjc28GXL6SFy2xw++KXQ=,"""homepage_uri""=>""https://github.com/carrfane/solidgate-ruby-sdk"", ""changelog_uri""=>""https://github.com/carrfane/solidgate-ruby-sdk/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/carrfane/solidgate-ruby-sdk"", ""allowed_push_host""=>""https://rubygems.org""",>= 0,,0ec20f44a75f24d636949e74a72ba4f2,,240604,0.1.2,,248035,ruby,solidgate-ruby-sdk-0.1.2,ji8W9jprGm20P9WyOMXewpHu8QNDFb9ZuMVdIom0XFw=
1950007,Daniel Berger,"    The sctp-socket library provides Ruby bindings for SCTP sockets. is a
    message oriented, reliable transport protocol with direct support for
    multihoming.
",0.2.2,196982,1980-01-02 00:00:00,2026-01-07 20:10:12.619963,Ruby bindings for SCTP sockets,ruby,2026-01-07 20:10:11.825103,t,f,0,t,sctp-socket-0.2.2,"---
- Apache-2.0
",43008,"--- []
",>= 0,RKgxpaa9UO04vmRnIMcWlOC+S8vfqCaRtzqr0GJG9N0=,"""wiki_uri""=>""https://github.com/djberg96/sctp-socket/wiki"", ""funding_uri""=>""https://github.com/sponsors/djberg96"", ""homepage_uri""=>""https://github.com/djberg96/sctp-socket"", ""changelog_uri""=>""https://github.com/djberg96/sctp-socket/blob/main/CHANGES.md"", ""bug_tracker_uri""=>""https://github.com/djberg96/sctp-socket/issues"", ""source_code_uri""=>""https://github.com/djberg96/sctp-socket"", ""documentation_uri""=>""https://github.com/djberg96/sctp-socket/wiki"", ""rubygems_mfa_required""=>""true""",>= 0,,eb4d3718b46d4985b0b4d7af5488df6c,,1140,0.2.2,"-----BEGIN CERTIFICATE-----
MIIEcDCCAtigAwIBAgIBATANBgkqhkiG9w0BAQsFADA/MREwDwYDVQQDDAhkamJl
cmc5NjEVMBMGCgmSJomT8ixkARkWBWdtYWlsMRMwEQYKCZImiZPyLGQBGRYDY29t
MB4XDTE4MDMxODE1MjIwN1oXDTI4MDMxNTE1MjIwN1owPzERMA8GA1UEAwwIZGpi
ZXJnOTYxFTATBgoJkiaJk/IsZAEZFgVnbWFpbDETMBEGCgmSJomT8ixkARkWA2Nv
bTCCAaIwDQYJKoZIhvcNAQEBBQADggGPADCCAYoCggGBALgfaroVM6CI06cxr0/h
A+j+pc8fgpRgBVmHFaFunq28GPC3IvW7Nvc3Y8SnAW7pP1EQIbhlwRIaQzJ93/yj
u95KpkP7tA9erypnV7dpzBkzNlX14ACaFD/6pHoXoe2ltBxk3CCyyzx70mTqJpph
75IB03ni9a8yqn8pmse+s83bFJOAqddSj009sGPcQO+QOWiNxqYv1n5EHcvj2ebO
6hN7YTmhx7aSia4qL/quc4DlIaGMWoAhvML7u1fmo53CYxkKskfN8MOecq2vfEmL
iLu+SsVVEAufMDDFMXMJlvDsviolUSGMSNRTujkyCcJoXKYYxZSNtIiyd9etI0X3
ctu0uhrFyrMZXCedutvXNjUolD5r9KGBFSWH1R9u2I3n3SAyFF2yzv/7idQHLJJq
74BMnx0FIq6fCpu5slAipvxZ3ZkZpEXZFr3cIBtO1gFvQWW7E/Y3ijliWJS1GQFq
058qERadHGu1yu1dojmFRo6W2KZvY9al2yIlbkpDrD5MYQIDAQABo3cwdTAJBgNV
HRMEAjAAMAsGA1UdDwQEAwIEsDAdBgNVHQ4EFgQUFZsMapgzJimzsbaBG2Tm8j5e
AzgwHQYDVR0RBBYwFIESZGpiZXJnOTZAZ21haWwuY29tMB0GA1UdEgQWMBSBEmRq
YmVyZzk2QGdtYWlsLmNvbTANBgkqhkiG9w0BAQsFAAOCAYEAW2tnYixXQtKxgGXq
/3iSWG2bLwvxS4go3srO+aRXZHrFUMlJ5W0mCxl03aazxxKTsVVpZD8QZxvK91OQ
h9zr9JBYqCLcCVbr8SkmYCi/laxIZxsNE5YI8cC8vvlLI7AMgSfPSnn/Epq1GjGY
6L1iRcEDtanGCIvjqlCXO9+BmsnCfEVehqZkQHeYczA03tpOWb6pon2wzvMKSsKH
ks0ApVdstSLz1kzzAqem/uHdG9FyXdbTAwH1G4ZPv69sQAFAOCgAqYmdnzedsQtE
1LQfaQrx0twO+CZJPcRLEESjq8ScQxWRRkfuh2VeR7cEU7L7KqT10mtUwrvw7APf
DYoeCY9KyjIBjQXfbj2ke5u1hZj94Fsq9FfbEQg8ygCgwThnmkTrrKEiMSs3alYR
ORVCZpRuCPpmC8qmqxUnARDArzucjaclkxjLWvCVHeFa9UP7K3Nl9oTjJNv+7/jM
WZs4eecIcUc4tKdHxcAJ0MO/Dkqq7hGaiHpwKY76wQ1+8xAh
-----END CERTIFICATE-----
",242694,ruby,sctp-socket-0.2.2,RuGJ+jzZQ5ak9pTyhyzM5Cw6xuPP20AhOwU6LozzbKs=
1950008,Gemini User,Exposes tools over HTTP (SSE) using the MCP SDK.,0.1.0,239114,1980-01-02 00:00:00,2026-01-07 20:14:08.077718,A simple Model Context Protocol (MCP) server implemented in Ruby.,ruby,2026-01-07 20:14:06.848773,t,f,0,t,mcp-https-ruby-0.1.0,"---
- MIT
",7168,"--- []
",>= 3.0.0,hESafM3BDF6Wdse1KmqlB1KwW0/m3TWkE0qzqYMtLJI=,"""homepage_uri""=>""https://github.com/example/mcp-https-ruby"", ""changelog_uri""=>""https://github.com/example/mcp-https-ruby/blob/main/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/example/mcp-https-ruby""",>= 0,,586ab68766c17941862e3109e8243433,,240591,0.1,,247991,ruby,mcp-https-ruby-0.1.0,yOVkAlhp4FLLdPSS33s+5LTteLgVyArkQH75tja0BlY=
1950009,Peter Schilling,"CoolId generates primary keys using prefixed nanoids for ActiveRecord models, providing unique and readable identifiers.",0.2.5,231456,2026-01-07 00:00:00,2026-01-07 20:16:49.949266,Generates cool ids for ActiveRecord models,ruby,2026-01-07 20:16:49.126414,t,f,0,t,cool_id-0.2.5,"---
- ISC
",10240,"--- []
",>= 3.1.0,i0/8y5tXnVR4c6ypfGv053Wd5PD1rFWtuaAqZ9lJCVE=,"""homepage_uri""=>""https://github.com/schpet/cool_id"", ""changelog_uri""=>""https://github.com/schpet/cool_id/blob/main/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/schpet/cool_id""",>= 0,,dc5ea82ac0cf58c81d4cc7c9a608786b,,105751,0.2.5,,232250,ruby,cool_id-0.2.5,hIuRao6hEHq34Mi4TPDep4seQTtcZbmvUglEKsnsrL4=
